subject_id,Condition,Correct,RT
10,upr_part,correct,2974
10,upd_tot,correct,1552
10,upr_part,correct,1684
10,upd_part,correct,5426
10,upd_part,correct,1632
10,upd_part,correct,3690
10,upd_part,correct,4710
10,upd_tot,correct,2234
10,upr_tot,correct,2404
10,upr_tot,correct,1542
10,upd_part,correct,2460
10,upd_part,correct,2098
10,upd_part,correct,1785
10,upr_part,correct,2170
10,upd_part,correct,2025
10,upr_part,correct,1635
10,upd_tot,correct,4348
10,upr_tot,correct,2066
10,upr_tot,correct,2480
10,upr_tot,correct,2782
10,upd_tot,correct,1513
10,upd_part,correct,2962
10,upd_tot,correct,1864
10,upr_tot,correct,4598
10,upr_part,correct,1783
10,upd_tot,correct,2725
10,upd_part,correct,1636
10,upr_part,correct,2318
10,upr_tot,correct,1332
10,upd_tot,correct,6487
10,upd_part,correct,1363
10,upr_part,correct,1273
10,upr_part,correct,3197
10,upd_part,correct,6930
10,upr_part,correct,2653
10,upd_tot,correct,1352
10,upr_tot,correct,3842
10,upr_tot,correct,5278
10,upd_part,correct,4390
10,upd_tot,correct,1724
10,upd_tot,correct,4499
10,upd_part,correct,1737
10,upd_part,correct,1070
10,upr_part,correct,2584
10,upd_tot,correct,1437
10,upd_tot,correct,1223
10,upr_part,correct,1211
10,upr_part,correct,1162
10,upr_tot,correct,1344
10,upd_part,correct,1292
10,upd_tot,correct,2441
10,upr_tot,correct,2239
10,upr_part,correct,1774
10,upr_part,correct,1070
10,upr_tot,correct,941
10,upr_tot,correct,2184
10,upr_tot,correct,1059
10,upd_tot,correct,4058
10,upr_tot,correct,1383
10,upr_part,correct,908
10,upr_part,correct,2445
10,upr_tot,correct,1999
10,upd_tot,correct,1579
10,upd_tot,correct,2149
