#Expyriment 0.9.0 (Python 3.7.3), .xpd-file, coding: cp1252
#date: Thu Nov 07 2019 14:19:13
#--EXPERIMENT INFO
#e mainfile: experience_apr.py
#e sha1: None
#e modules: 
#e Experiment: Perception des visages
#e no between subject factors
#--SUBJECT INFO
#s id: 2
subject_id,Condition,Correct,RT
2,upr_part,correct,1055
2,upr_part,correct,917
2,upd_part,correct,1124
2,upd_part,correct,1699
2,upr_part,correct,1186
2,upd_part,correct,1274
2,upr_part,correct,1063
2,upr_tot,correct,1056
2,upr_tot,correct,1422
2,upd_part,correct,1546
2,upd_tot,correct,1256
2,upr_tot,correct,1226
2,upd_part,correct,1503
2,upr_tot,correct,1005
2,upr_tot,false,1035
2,upr_part,correct,2234
2,upd_part,correct,2770
2,upd_tot,correct,1535
2,upr_part,correct,2283
2,upr_tot,correct,1732
2,upd_tot,correct,1394
2,upr_part,correct,1124
2,upr_tot,correct,904
2,upr_part,correct,1472
2,upd_part,correct,1286
2,upr_part,false,901
2,upr_tot,correct,1200
2,upd_part,correct,2836
2,upd_tot,correct,1576
2,upd_tot,correct,1555
2,upr_part,correct,912
2,upd_part,correct,992
2,upr_tot,correct,955
2,upd_tot,correct,1126
2,upr_part,correct,952
2,upr_tot,correct,2192
2,upd_tot,correct,1906
2,upd_part,correct,1578
2,upr_tot,correct,1035
2,upr_tot,correct,1004
2,upr_tot,correct,1238
2,upd_tot,correct,1123
2,upr_part,correct,993
2,upd_tot,correct,1194
2,upd_part,correct,951
2,upd_tot,false,1570
2,upd_part,correct,1086
2,upd_tot,correct,942
2,upr_part,correct,1089
2,upd_part,correct,1569
2,upr_part,correct,1165
2,upr_tot,correct,1519
2,upd_tot,correct,2403
2,upr_tot,correct,1056
2,upd_tot,correct,1801
2,upr_part,correct,1067
2,upd_part,correct,1682
2,upr_part,correct,1691
2,upd_part,correct,1568
2,upd_tot,false,2129
2,upd_part,false,2336
2,upd_tot,correct,1912
2,upd_tot,false,2050
2,upr_tot,correct,969
