,subject_id,Condition,Correct,RT
0,10,upd_part,correct,1650
1,10,upd_part,correct,1165
2,10,upr_tot,correct,1533
3,10,upd_tot,correct,1802
4,10,upd_part,correct,1490
5,10,upr_tot,correct,1540
6,10,upd_part,correct,1456
7,10,upr_tot,correct,1442
8,10,upd_tot,correct,1326
9,10,upr_tot,correct,1984
10,10,upr_part,correct,2138
11,10,upr_tot,correct,2035
12,10,upr_tot,correct,2249
13,10,upr_part,correct,1946
14,10,upd_tot,correct,2672
15,10,upr_part,correct,2620
16,10,upd_part,correct,2007
17,10,upr_part,correct,2331
18,10,upd_part,correct,2083
19,10,upd_part,correct,2100
20,10,upr_tot,correct,2096
21,10,upr_part,correct,2778
22,10,upd_tot,correct,1820
23,10,upd_tot,correct,2818
24,10,upd_tot,correct,2280
25,10,upd_part,correct,2369
26,10,upd_tot,correct,1785
27,10,upd_tot,correct,1602
28,10,upr_part,correct,2289
29,10,upd_part,correct,2111
30,10,upr_part,correct,1694
31,10,upd_part,correct,1622
32,10,upd_tot,correct,1955
33,10,upr_tot,correct,1309
34,10,upd_tot,correct,1825
35,10,upd_part,correct,2727
36,10,upd_tot,correct,1959
37,10,upr_part,correct,1611
38,10,upr_tot,correct,1291
39,10,upd_tot,correct,1532
40,10,upr_part,correct,1510
41,10,upr_part,correct,1461
42,10,upd_part,correct,1891
43,10,upd_part,correct,1463
44,10,upr_part,correct,1931
45,10,upd_tot,correct,1547
46,10,upr_tot,correct,2342
47,10,upd_tot,correct,1834
48,10,upr_tot,correct,1580
49,10,upr_tot,correct,2146
50,10,upr_tot,correct,1784
51,10,upr_tot,correct,1210
52,10,upr_part,correct,2011
53,10,upd_tot,correct,1503
54,10,upr_part,correct,1562
55,10,upr_tot,correct,2938
56,10,upd_part,correct,1745
57,10,upr_tot,correct,1665
58,10,upd_tot,correct,1686
59,10,upr_part,correct,1956
60,10,upd_part,correct,3144
61,10,upr_part,correct,2478
